# x(nm^-1)	average	StDev
# 
1.645999999999999894e-02	8.477499999999998708e-05	4.195101309861303184e-06
1.638999999999999832e-02	8.299000000000000333e-05	4.392066711697351956e-06
1.633000000000000076e-02	8.776000000000000001e-05	5.168273406080605789e-06
1.626000000000000015e-02	8.443749999999999921e-05	1.981733773744595350e-06
1.618999999999999953e-02	8.408750000000000425e-05	4.267319855600229909e-06
1.612999999999999851e-02	8.867500000000000057e-05	4.477865004664613010e-06
1.606000000000000136e-02	8.193500000000000750e-05	6.579321773556910552e-06
1.600000000000000033e-02	8.524999999999999863e-05	2.234401485857004150e-06
1.593999999999999931e-02	8.443000000000000309e-05	3.183488652406350095e-06
1.586999999999999869e-02	9.081250000000000509e-05	9.834728008440251304e-07
1.581000000000000114e-02	8.927500000000000160e-05	5.635949343278378713e-06
1.575000000000000011e-02	8.716249999999999768e-05	3.057101364037505980e-06
1.568999999999999909e-02	8.966500000000000295e-05	3.722072675271129733e-06
